title,year,organization
Design of an integrated DBMS to support advanced Applications.,1985,University of Michigan
Adapting Function Points to Object-Oriented Information Systems.,1998,University of Maryland
Matching User Profiles Across Social Networks.,2014,University of Maryland
The Grand Challenge in Information Technology and the Illusion of Validity.,2002,University of Maryland
Projective Template-Based Code Generation.,2013,Tel Aviv University
Goal-Oriented Requirements Engineering: A Case Study in E-government.,2003,University of Maryland
Modeling User Behaviour Aware WebSites with PRML.,2006,University of Maryland
Extending a Conceptual Modelling Approach to Web Application Design.,2000,University of Maryland
Bottom-Up Fault Management in Composite Web Services.,2011,University of Michigan
Data Integration Using ID-Logic.,2004,Tel Aviv University
Managing General and Individual Knowledge in Crowd Mining Applications.,2015,Tel Aviv University
Brainwash: A Data System for Feature Engineering.,2013,University of Michigan
DataHub: Collaborative Data Science & Dataset Version Management at Scale.,2015,University of Maryland
Extracting and Querying a Comprehensive Web Database.,2009,University of Michigan
Synthesizing Data Programs.,2015,University of Michigan
Structured Querying of Web Text Data: A Technical Challenge.,2007,University of Michigan
TelegraphCQ: Continuous Dataflow Processing for an Uncertain World.,2003,University of Maryland
Enabling Privacy in Provenance-Aware Workflow Systems.,2011,Tel Aviv University
Using Probabilistic Models for Data Management in Acquisitional Environments.,2005,University of Maryland
Caravan: Provisioning for What-If Analysis.,2013,Tel Aviv University
Hephaestus: Data Reuse for Accelerating Scientific Discovery.,2015,University of Maryland
Using Data for Systemic Financial Risk Management.,2011,University of Maryland
Using Data for Systemic Financial Risk Management.,2011,University of Michigan
Looking at Everything in Context.,2015,University of Michigan
Rethinking Choices for Multi-dimensional Point Indexing: Making the Case for the Often Ignored Quadtree.,2007,University of Michigan
Qunits: queried units in database search.,2009,University of Michigan
Finding Quality in Quantity: The Challenge of Discovering Valuable Sources for Integration.,2015,University of Maryland
The Role of Schema Matching in Large Enterprises.,2009,University of Maryland
Understanding Local Structure in Ranked Datasets.,2013,Tel Aviv University
Haystack: Per-User Information Environments.,1999,University of Michigan
First international workshop on information and knowledge management for developing region.,2012,University of Maryland
Multi-level operator combination in XML query processing.,2002,University of Michigan
Metadata and Data Structures for the Historical Newspaper Digital Library.,1999,University of Maryland
An automatic approach to construct domain-specific web portals.,2007,University of Michigan
Multi-resolution disambiguation of term occurrences.,2003,Tel Aviv University
Hashing by Proximity to Process Duplicates in Spatial Databases.,1994,University of Maryland
CLIR for Informal Content in Arabic Forum Posts.,2014,University of Maryland
Towards minimizing the annotation cost of certified text classification.,2013,University of Maryland
Diversification and refinement in collaborative filtering recommender.,2011,Tel Aviv University
Efficient query evaluation using a two-level retrieval process.,2003,Tel Aviv University
Modeling hidden topics on document manifold.,2008,University of Michigan
A matrix-based approach for semi-supervised document co-clustering.,2008,University of Michigan
The verity federated infrastructure.,2002,University of Maryland
Intelligent agent for automated manufacturing rule generation.,2004,University of Michigan
Discovering interesting usage patterns in text collections: integrating text mining with visualization.,2007,University of Maryland
E-discovery.,2008,University of Maryland
FunBase: A Function-based Information Management System.,1993,University of Michigan
Towards an approach for knowledge-based road detection.,2005,University of Maryland
Matching person names through name transformation.,2009,University of Maryland
Fast dimension reduction for document classification based on imprecise spectrum analysis.,2010,University of Maryland
Flexible List Management in a Directory.,1998,University of Michigan
View Materialization Techniques for Complex Hierarchical Objects.,1997,University of Michigan
Efficient wikipedia-based semantic interpreter by exploiting top-k processing.,2010,University of Michigan
The Yahoo!: cloud datastore load balancer.,2012,University of Maryland
Efficient retrieval of recommendations in a matrix factorization framework.,2012,Tel Aviv University
An Information Model for Human Genome Map Representation and Assembly.,1993,University of Michigan
Detecting product review spammers using rating behaviors.,2010,University of Maryland
An Information Model for Use in Software Management Estimation and Prediction.,1993,University of Maryland
Trust relationship prediction using online product review data.,2009,University of Maryland
An analysis framework for search sequences.,2009,University of Michigan
Query suggestion using hitting time.,2008,University of Michigan
Automatic analysis of call-center conversations.,2005,Tel Aviv University
A dual-view approach to interactive network visualization.,2007,University of Maryland
Window join approximation over data streams with importance semantics.,2006,University of Michigan
Combining feature selectors for text classification.,2006,University of Maryland
A Fixed-Point Method for Weighting Terms in Verbose Informational Queries.,2014,University of Maryland
Mining the Web for Answers to Natural Language Questions.,2001,University of Michigan
Summarization evaluation using relative utility.,2003,University of Michigan
Interoperable Query Processing with Multiple Heterogeneous Knowledge Servers.,1993,University of Maryland
Metaphor: a system for related search recommendations.,2012,University of Michigan
Diffusion of innovations revisited: from social network to innovation network.,2013,University of Michigan
Characteristics of document similarity measures for compliance analysis.,2009,University of Maryland
Challenges in personalized authority flow based ranking of social media.,2010,University of Maryland
Building recommendation systems using peer-to-peer shared content.,2010,Tel Aviv University
Leonardo's laptop: human needs and the new computing technologies.,2005,University of Maryland
Leveraging social context for searching social media.,2008,University of Maryland
Securely sharing neuroimagery.,2003,University of Maryland
Run-Time Parallelization of Sequential Database Programs.,1995,University of Michigan
Adaptive Commitment for Distributed Real-Time Transactions.,1994,University of Michigan
Smart Mediators and Intelligent Agents (Panel).,1996,University of Maryland
A Word-Scale Probabilistic Latent Variable Model for Detecting Human Values.,2014,University of Maryland
Accurate language model estimation with document expansion.,2005,University of Michigan
Mining named entity transliteration equivalents from comparable corpora.,2008,University of Maryland
Characterization of TPC-H queries for a column-oriented database on a dual-core amd athlon processor.,2008,University of Maryland
Intelligent sales forecasting engine using genetic algorithms.,2010,University of Maryland
Rebuilding the Tower of Babel: Towards Cross-System Malware Information Sharing.,2014,University of Michigan
Heterogeneous cross domain ranking in latent space.,2009,University of Michigan
Assessor error in stratified evaluation.,2010,University of Maryland
Understanding retweeting behaviors in social networks.,2010,University of Michigan
Building optimal information systems automatically: configuration space exploration for biomedical information systems.,2013,University of Michigan
Towards noise-resilient document modeling.,2011,University of Maryland
On handling textual errors in latent document modeling.,2013,University of Maryland
Facetedpedia: enabling query-dependent faceted search for wikipedia.,2010,University of Maryland
Learning cross-document structural relationships using boosting.,2003,University of Michigan
Challenges in Web Information Retrieval.,2009,University of Michigan
LCM: A new approach to parse XML documents through loose coupling between XML document design and the corresponding application code.,2008,University of Maryland
A Model for Prevention of Software Piracy through Secure Distribution.,2007,University of Maryland
Database Access Design for E-Business - A Case Study.,2005,University of Maryland
Forecasting Using Consistent Experts.,2008,University of Maryland
Formalizing Recovery in Transaction-Oriented Database Systems.,1995,University of Michigan
Learning Response Times for WebSources: A Comparison of a Web Prediction Tool (WebPT) and a Neural Network.,1999,University of Maryland
eResponder: Electronic Question Responder.,2000,Tel Aviv University
Using Heterogeneous Equivalences for Query Rewriting in Multidatabase Systems.,1995,University of Maryland
Wrapper Generation for Web Accessible Data Sources.,1998,University of Maryland
Modal Query Language for Databases with Partial Orders.,2004,University of Maryland
Query Transformation Techniques for Interoperable Query Processing in Cooperative Information Systems.,1994,University of Maryland
Using Temporal Abstractions and Cancellations for Efficiency in Automated Meeting Scheduling.,1993,University of Michigan
The Role of Commitment in Cooperative Negation.,1994,University of Michigan
A Meta-Wrapper for Scaling up to Multiple Autonomous Distributed Information Sources.,1998,University of Maryland
Validating an Access Cost Model for Wide Area Applications.,2001,University of Maryland
Internal vs. External Spatial Information and Cultural Emergence in a Self-Organizing City.,1995,Tel Aviv University
Agent-Based Simulations of a City Dynamics in a GIS Environment.,1997,Tel Aviv University
Cognitive Maps Are over 60.,2005,Tel Aviv University
"Self-Organization, Cities, Cognitive Maps and Information Systems.",1997,Tel Aviv University
Systematic Distortions in Cognitive Maps: The North American West Coast vs. the (West) Coast of Israel.,2003,Tel Aviv University
Formalizing Regions in the Spatial Semantic Hierarchy: An AH-Graphs Implementation Approach.,1999,University of Michigan
Activity Modeling and Behavior Modeling.,1986,University of Maryland
An Information Systems Approach to Support Decision Makers Selecting Group Decision Processes.,2000,University of Michigan
Virtual Supply Chain Management: Information Framework and Agreement Network Model.,2001,University of Michigan
A study on performance evaluation model of individual knowledge-sharing.,2010,University of Michigan
A RFID-based tracking service of Waste Electrical and Electronic Equipment.,2013,University of Michigan
Design method and finite element analysis on refrigeration scroll compressor.,2010,University of Michigan
Organization-Oriented Simulation of Collaborative Product Development Process Based on Designer's Agent Model.,2007,University of Michigan
Research on innovation customer resource selection and evaluation based on wavelet network.,2008,University of Michigan
Research on the cooperative decision of business application needs in IT governance.,2012,University of Maryland
Research on collaborative IT governance model oriented to business architecture.,2013,University of Maryland
Toward Multimedia Document Support inside the AHYDS Platform.,1999,University of Michigan
Uncertainty in Crowd Data Sourcing Under Structural Constraints.,2014,Tel Aviv University
Assessing the Completeness of Sensor Data.,2006,University of Maryland
Schema Driven and Topic Specific Web Crawling.,2005,University of Michigan
Object Semantics for XML Keyword Search.,2014,University of Michigan
StreamFitter: A Real Time Linear Regression Analysis System for Continuous Data Streams.,2011,University of Maryland
Visible Nearest Neighbor Queries.,2007,University of Maryland
A Knowledge/Based Approach to Multiple Query Processing.,1989,University of Michigan
Bulk-Loading the ND-Tree in Non-ordered Discrete Data Spaces.,2008,University of Michigan
Offstage Objects and their Renovations in the Temporal Object System TOS.,1993,University of Michigan
Clustering XML Documents Based on Structural Similarity.,2007,University of Michigan
Efficient SPARQL Query Evaluation via Automatic Data Partitioning.,2013,University of Maryland
OODB Support for Real-Time Open-Architecture Controllers.,1995,University of Michigan
Minimizing Explanations of Why-Not Questions.,2014,University of Michigan
On the Development of Data Models.,1982,University of Maryland
Database Management: A Survey.,1985,University of Maryland
Large-Scale Knowledge-Based Systems: Concluding Remarks and Technological Challenges.,1985,University of Maryland
Knowledge Bases vs. Databases.,1985,University of Maryland
Database Management: A Survey.,1985,University of Maryland
On the Design and Specification of Database Transactions.,1982,University of Maryland
Pattern Databases.,1979,University of Maryland
How to Look at Deductive Databases.,1985,University of Maryland
On Knowledge-Based System Architectures.,1985,University of Maryland
Towards a Language for the Fully Generic Queries.,1997,Tel Aviv University
Querying Structural and Behavioral Properties of Business Processes.,2007,Tel Aviv University
Calculi for Bags and their Complexity.,1993,Tel Aviv University
TAX: A Tree Algebra for XML.,2001,University of Michigan
Database Security: Where are We?,1987,University of Maryland
"Research Question List, Answers, and Revision.",1989,University of Maryland
Research Question List.,1990,University of Maryland
IFIP WG 11.3 Database Security: Research Questions of Current Significance.,1992,University of Maryland
A New Approach to Secure Logging.,2008,University of Michigan
Perspectives on Database Security - Panel Summary.,1994,University of Maryland
Multilevel Secure Rules: Integrating the Multilevel Secure and Active Data Models.,1992,University of Maryland
Discussion Notes and Research Question List.,1988,University of Maryland
A Novel Query Preprocessing Technique for Efficient Access to XML-Relational Databases.,2009,University of Michigan
A Tractable Class of Disjunctive Deductive Databases.,1992,University of Maryland
"Semantics for Rule-based Programs that Express Non-determinism, Causality and Exception Handling Behavior.",1992,University of Maryland
Supporting KDD Applications by the k-Nearest Neighbor Join.,2003,University of Maryland
Beyond Lazy XML Parsing.,2007,University of Michigan
An Indexing Model for Complex Object Hierarchies in Object-Oriented Databases.,1991,University of Michigan
From Object-Oriented Conceptual Modeling to Component-Based Development.,1999,University of Maryland
Making Collective Wisdom Wiser.,2013,Tel Aviv University
Space-Partitioning-Based Bulk-Loading for the NSP-Tree in Non-ordered Discrete Data Spaces.,2008,University of Michigan
A Flexible Fuzzy Expert System for Fuzzy Duplicate Elimination in Data Cleaning.,2004,University of Maryland
Privacy-Aware DaaS Services Composition.,2011,University of Michigan
Cost Estimation for Large Queries via Fractional Analysis and Probabilistic Approach in Dynamic Multidatabase Environments.,2000,University of Michigan
An Object-Oriented Model of Maps.,1999,University of Maryland
Domain Name Based Visualization of Web Histories in a Zoomable User Interface.,2000,University of Maryland
Multimedia Data Mining and Its Implications for Query Processing.,1998,University of Michigan
Multi-user Driven Path Prediction Algorithm for Mobile Computing.,2003,University of Maryland
Massive Parallelism for Query Answering in Weakly Integrated P2P Systems.,2004,University of Maryland
Impact of Radio Irregularities on Topology Tradeoffs of WSNs.,2006,University of Maryland
Multimedia Query and Presentation Algebras (Abstract).,1998,University of Maryland
Designing Responsive Database-Driven Web Sites.,2005,University of Michigan
Transactional Aid to Workflow Distribution to Support E-Commerce.,2003,University of Michigan
Web Based Electronic Marketplaces: Trading through Collaboration.,2005,University of Michigan
Source Authentication in Group Communication Systems.,2003,University of Michigan
A Portal for Access to Complex Distributed Information about Energy.,2002,University of Maryland
Simplifying data access: the energy data collection (EDC) project.,2000,University of Maryland
"Designing an Infrastructure for Heterogeneity of Ecosystem Data, Collaborators, Organizations.",2002,University of Michigan
Integrating Radar Remote Sensing of Habitat Structure: A Pilot Project for Biodiversity Informatics.,2002,University of Michigan
Radar Remote Sensing of Habitat Structure for Biodiversity Informatics.,2002,University of Michigan
Local big data: the role of libraries in building community data infrastructures.,2014,University of Maryland
"Big data and e-government: issues, policies, and recommendations.",2013,University of Maryland
"Crowd-sourcing transparency: ICTs, social media, and government transparency initiatives.",2010,University of Maryland
"Delivering e-government services through innovative partnerships: public libraries, government agencies, and community organizations.",2012,University of Maryland
The policy challenges of universally usable e-government.,2011,University of Maryland
"Citizen-centered e-government services: benefits, costs, and research needs.",2008,University of Maryland
Database Middleware for Distributed Ontologies in State and Federal Family & Social Services.,2004,University of Michigan
Privacy Preserving Composition of Government Web Services.,2002,University of Michigan
Demonstration of Sahana: free and open source disaster management.,2007,University of Maryland
Scalable and Secure Data Collection Using Bistro.,2002,University of Maryland
"Eric Landis, David Maier, John L. Schnase, Rob Stevenson: Research Agenda for Biodiversity and Ecosystem Informatics.",2004,University of Michigan
The FedStats Statistical Portal: Developing Access to City Information through MapStats.,2004,University of Maryland
Keynote panel: digital government research in the academy.,2005,University of Maryland
Charting collections of connections in social media: creating visualizations with NodeXL.,2012,University of Maryland
Experience with SAND-Tcl: a scripting tool for spatial databases.,2000,University of Maryland
Government policies on the use of social media: legislating for change.,2011,University of Maryland
New Directions in Digital Government Research.,2002,University of Michigan
A Project to Assess Voting Technology and Ballot Design.,2004,University of Maryland
A Project to Assess Voting Technology and Ballot Design.,2004,University of Michigan
A project to assess voting technology and ballot design.,2005,University of Maryland
A project to assess voting technology and ballot design.,2005,University of Michigan
A Project to Assess voting Technology and Ballot Design.,2004,University of Maryland
The energy data collection project.,2000,University of Maryland
Extending Metadata Definitions by Automatically Extracting and Organizing Glossary Definitions.,2003,University of Maryland
"Panel proposal online community networks, e-government, and community-sourcing actions.",2012,University of Maryland
Access perspectives and design values in government social media usage.,2012,University of Maryland
Case study in e-government education programs: preparing future government information professionals.,2011,University of Maryland
Robust technologies for automated ingestion and long-term preservation of digital information.,2006,University of Maryland
"Helping Users Get Started with Visual Interfaces: Multi-Layered Interfaces, Integrated Initial Guidance and Video Demonstrations.",2003,University of Maryland
New Approaches to Help Users Get Started with Visual Interfaces: Multi-Layered Interfaces and Integrated Initial Guidance.,2003,University of Maryland
Designing a Metadata -Driven Visual Information Browser for Federal Statistics.,2003,University of Maryland
Data Exploration with Paired Hierarchical Visualizations: Initial Designs of Pair Trees.,2003,University of Maryland
Still up in the air: government regulation of airline websites and continuing price inequality for persons with disabilities online.,2012,University of Maryland
Preserving information long-term: digital archiving.,2005,University of Michigan
Extending understanding of federal statistics in tables.,2000,University of Maryland
Toward a Statistical Knowledge Network.,2003,University of Maryland
Integrating data and interfaces to enhance understanding of government statistics: toward the national statistical knowledge network project briefing.,2006,University of Maryland
Toward the National Statistical Knowledge Network.,2004,University of Maryland
Project highlight: toward a statistical knowledge network--2004-05.,2005,University of Maryland
Semantic Web Enabled E-Government Services.,2003,University of Michigan
Visual analytics for model-based policy analysis: exploring rapid changes in commodities markets.,2007,University of Michigan
Building a Terminological Database from Heterogeneous Definitional Sources.,2003,University of Maryland
Optimized Querying of E-Government Services.,2003,University of Michigan
Information integration and dissemination for disaster data management.,2007,University of Maryland
Elements of social science engagement in information infrastructure design.,2006,University of Michigan
Remote Thin-Client Access to Spatial Database Systems.,2002,University of Maryland
Importing Abstract Spatial Data into the SAND Database System.,2004,University of Maryland
Scalable data collection and retrieval infrastructure for digital government applications.,2006,University of Maryland
STEWARD: demo of spatio-textual extraction on the web aiding the retrieval of documents.,2007,University of Maryland
Knowledge discovery using the sand spatial browser.,2007,University of Maryland
Scalable Data Collection Infrastructure for Digital Government Applications.,2004,University of Maryland
Scalable data collection infrastructure for digital government applications.,2005,University of Maryland
Accessing Diverse Geo-Referenced Data Sources with the SAND Spatial DBMS.,2003,University of Maryland
Accessing Diverse Geo-Referenced Data Sources with the SAND Spatial DBMS.,2003,University of Maryland
Human-computer interaction themes in digital government: web site comprehension and statistics visualization.,2005,University of Maryland
New techniques for ensuring the long term integrity of digital archives.,2007,University of Maryland
Indexing Distributed Complex Data for Complex Queries.,2004,University of Maryland
An efficient nearest neighbor algorithm for P2P settings.,2005,University of Maryland
APPOINT: An Approach for Peer-to-Peer Offloading the INTERnet.,2002,University of Maryland
Improving Access to Large Volumes of Online Data.,2003,University of Maryland
Libraries and e-government: new partnerships in public service.,2012,University of Maryland
A project to assess voting technology and ballot design.,2006,University of Maryland
Improving Accessibility and Usability of Geo-referenced Statistical Data.,2003,University of Maryland
Improving Accessibility and Usability of Geo-referenced Statistical Data.,2003,University of Maryland
Finding Cross Genome Patterns in Annotation Graphs.,2012,University of Maryland
Links and Paths through Life Sciences Data Sources.,2004,University of Maryland
Efficient Techniques to Explore and Rank Paths in Life Science Data Sources.,2004,University of Maryland
Exploiting Ontology Structure and Patterns of Annotation to Mine Significant Associations between Pairs of Controlled Vocabulary Terms.,2008,University of Maryland
Using Annotations from Controlled Vocabularies to Find Meaningful Associations.,2007,University of Maryland
Exploiting Semantics from Ontologies and Shared Annotations to Partition Linked Data.,2014,University of Maryland
Using standards for Data Integration over the Web (Panel).,2002,University of Maryland
A graph-based approach to vehicle tracking in traffic camera video streams.,2007,University of Maryland
The Multimedia Semantic Web.,2005,University of Michigan
Organic Databases.,2011,University of Michigan
Crowd-Based Data Sourcing - (Abstract).,2011,Tel Aviv University
Augmenting the Power of the Various Versions of LSI Used in Document Retrieval.,2005,University of Michigan
Evaluating glyph binarizations based on their properties.,2013,Tel Aviv University
Generating form-based user interfaces for XML vocabularies.,2005,University of Michigan
An XML interaction service for workflow applications.,2006,University of Michigan
Handling syntactic constraints in a DTD-compliant XML editor.,2003,University of Michigan
XUIB: XML to user interface binding.,2010,University of Michigan
Next Generation Database Management Systems Technology (Panel).,1989,University of Maryland
Optimization of Methods in a Navigational Query Language.,1991,University of Michigan
Tracking Causal Dependencies in an Active Object-Oriented Database.,1993,University of Maryland
Multiprocessor Transitive Closure Algorithms.,1988,University of Michigan
Exploiting Concurrency in a DBMS Implementation for Production.,1988,University of Maryland
The Promise of Distributed Computing and the Challenges of Legacy Information Systems.,1992,University of Maryland
Bridging the Gap between AI and Databases: Logic Approach.,1986,University of Maryland
Update Dependencies.,1985,University of Maryland
Two Data Organizations for Storing Symbolic Images in a Relational Database System.,1999,University of Maryland
Two Data Organizations for Storing Symbolic Images in a Relational Database System.,1999,Tel Aviv University
Third-Generation Database System Manifesto - The Committee for Advanced DBMS Function.,1990,University of Maryland
Operation and evolution of organizational information systems (invited paper).,1978,University of Michigan
Panel: Academia influencing the National IT Policy: IS research and education in Israel.,1996,Tel Aviv University
Fasme - A Step Towards European E-government Solutions.,2002,Tel Aviv University
From generative fit to generative capacity: exploring an emerging dimension of information systems fit and task performance.,2006,Tel Aviv University
Adoption of Electronic Health Records System: Differentiating Main Associations.,2014,Tel Aviv University
The Holy Grail of Advertising? Quality Signaling and Revenue Implications of Pay- Per-Performance Advertising.,2008,University of Maryland
"Panel: The Future of IS Publications: Electronic, Paper or Both?",1999,Tel Aviv University
Beyond Automation: A Framework for Supporting Cooperation.,1996,University of Michigan
Whose Click Fraud Data Do You Trust? Effect Of Click Fraud On Advertiser's Trust And Sponsored Search Advertising Decisions.,2010,University of Maryland
Panel: Meet the editors: Worldviews in editorial missions and practice.,2005,Tel Aviv University
Panel: Publishing high impact IS research in top journals: Tips and traps.,2006,Tel Aviv University
Markets with network externalities: non-cooperation vs.Cooperation in R&D.,2006,Tel Aviv University
"Panel: Balancing Rigor and Relevance in IS Research: Strategies, Tactics, and Recommendations.",2000,University of Maryland
Tackling Simpson's Paradox in Big Data using Classification & Regression Trees.,2014,University of Maryland
Systems Development of Organizational Memory: A Literature Survey.,2000,Tel Aviv University
Ontologies of organizational memory as basis for evaluation.,2003,Tel Aviv University
Cost exploration of data sharings in the cloud.,2013,University of Maryland
On Bounding-Schemas for LDAP Directories.,2000,University of Michigan
BP-Ex: a uniform query engine for business process execution traces.,2010,Tel Aviv University
Query Planning in the Presence of Overlapping Sources.,2006,University of Maryland
In the Mood4: recommendation by examples.,2013,Tel Aviv University
On High Dimensional Skylines.,2006,University of Michigan
The Implementation and Performance Evaluation of the ADMS Query Optimizer: Integrating Query Result Caching and Matching.,1994,University of Maryland
Compacting music signatures for efficient music retrieval.,2008,University of Michigan
CQL++: A SQL for the Ode Object-Oriented DBMS.,1992,University of Michigan
Optimized union of non-disjoint distributed data sets.,2009,Tel Aviv University
Hierarchical In-Network Data Aggregation with Quality Guarantees.,2004,University of Maryland
Hybrid Index Organizations for Text Databases.,1992,University of Michigan
Splash: ad-hoc querying of data and statistical models.,2010,University of Michigan
The PARK Semantics for Active Rules.,1996,University of Maryland
Data Integration using Self-Maintainable Views.,1996,University of Michigan
Expressive query specification through form customization.,2008,University of Michigan
"READ: Rapid data Exploration, Analysis and Discovery.",2014,University of Maryland
"Optimization Techniques for Scaling Down Hadoop on Multi-Core, Shared-Memory Systems.",2014,University of Maryland
Dismantling Complicated Query Attributes with Crowd.,2015,Tel Aviv University
Constructing a Generic Natural Language Interface for an XML Database.,2006,University of Michigan
Synopses Reconciliation Via Calibration in the -Synopses System.,2006,Tel Aviv University
t-Synopses: A System for Run-Time Management of Remote Synopses.,2004,Tel Aviv University
The Design and Architecture of the -Synopses System.,2006,Tel Aviv University
Equal Time for Data on the Internet with WebSemantics.,1998,University of Maryland
An efficient layout method for a large collection of geographic data entries.,2013,University of Maryland
Fine-granularity Locking and Client-Based Logging for Distributed Architectures.,1996,University of Michigan
SWORD: scalable workload-aware data placement for transactional workloads.,2013,University of Maryland
Entity discovery and annotation in tables.,2013,University of Maryland
Automatic Deployment of Application-Specific Metadata and Code in MOCHA.,2000,University of Maryland
SMILE: A Data Sharing Platform for Mobile Apps in the Cloud.,2014,University of Maryland
A Geometric Approach to Indexing Large Rule Bases.,1992,University of Maryland
Making interval-based clustering rank-aware.,2011,Tel Aviv University
Flexible and efficient querying and ranking on hyperlinked data sources.,2009,University of Maryland
Estimating Answer Sizes for XML Queries.,2002,University of Michigan
Lost source provenance.,2010,University of Michigan
An architecture for ad-hoc and collaborative business intelligence.,2010,University of Maryland
BPI: XML query evaluation using bitmapped path indices.,2009,University of Michigan
Knowledge Management Framework for the Collaborative Distribution of Information.,2004,University of Michigan
Grouping in XML.,2002,University of Michigan
The Importance of Algebra for XML Query Processing.,2006,University of Michigan
Storing and Querying XML Data in Object-Relational DBMSs.,2002,University of Michigan
Securing Agent Based Architectures.,2002,University of Michigan
Future Artificial Intelligence requirements For Intelligent Database Systems - Panel Report.,1988,University of Maryland
Knowledge Base Management Systems: Discussions from the Working Group.,1984,University of Maryland
On Integrating Logic Programming and Databases.,1984,University of Maryland
Semantic Query Optimization in Expert Systems and Database Systems.,1984,University of Maryland
Semantic Query Optimization: Additional Constraints and Control Strategies.,1986,University of Maryland
A Compressed Transitive Closure Technique for Efficient Fixed-Point Query Processing.,1988,University of Michigan
Knowledge Management - Panel Report.,1988,University of Michigan
A Metaprogramming Approach to Semantically Optimize Queries in Deduktive Databases.,1988,University of Maryland
Relationships Between Deductive and Abductive Inference in Knowledge-Based Diagnostic Problem Solving.,1984,University of Maryland
