id,movie_id,company_id,company_type_id,note
2338600,2236433,475,2,(as Twentieth Century Fox) (presents)
2338600,2236433,475,2,(as Twentieth Century Fox) (presents)
966684,2236433,452,1,(2012) (USA) (DVD)
2338600,2236433,475,2,(as Twentieth Century Fox) (presents)
967705,2237820,12122,1,(2007) (Switzerland) (theatrical)
2339857,2237926,61458,2,
969966,2240258,51,1,(2013) (Netherlands) (DVD) (Blu-ray)
969965,2240258,51,1,(2013) (Netherlands) (DVD)
969968,2240258,52,1,(2012) (USA) (DVD) (Blu-ray)
969962,2240258,1427,1,(2012) (USA) (theatrical)
969965,2240258,51,1,(2013) (Netherlands) (DVD)
969962,2240258,1427,1,(2012) (USA) (theatrical)
969968,2240258,52,1,(2012) (USA) (DVD) (Blu-ray)
969962,2240258,1427,1,(2012) (USA) (theatrical)
969966,2240258,51,1,(2013) (Netherlands) (DVD) (Blu-ray)
969966,2240258,51,1,(2013) (Netherlands) (DVD) (Blu-ray)
969967,2240258,52,1,(2012) (USA) (DVD)
973275,2243589,17063,1,(1941) (Bolivia) (theatrical)
978519,2247697,1878,1,(2012) (Argentina) (theatrical)
978533,2247697,34,1,(2012) (USA) (DVD) (Blu-ray)
978531,2247697,1347,1,(2012) (Germany) (DVD) (Blu-ray)
978530,2247697,1347,1,(2012) (Germany) (DVD)
978531,2247697,1347,1,(2012) (Germany) (DVD) (Blu-ray)
981841,2250881,13017,1,(19??) (Germany) (theatrical)
982807,2251933,10277,1,(2004) (UK) (DVD)
983362,2252632,1571,1,(2012) (United Arab Emirates) (theatrical) (Middle East)
983716,2252924,12526,1,(2001) (Netherlands) (theatrical)
986875,2256319,1372,1,(2003) (Taiwan) (DVD)
2357425,2256340,202266,2,
987510,2257040,684,1,(2012) (Germany) (DVD)
987523,2257040,1085,1,(2013) (Japan) (DVD)
987517,2257040,516,1,(2012) (Australia) (theatrical)
987597,2257084,579,1,(2012) (UK) (DVD)
987617,2257084,531,1,(2012) (USA) (DVD)
987598,2257084,579,1,(2012) (UK) (DVD) (Blu-ray)
987599,2257084,530,1,(2012) (Netherlands) (DVD)
987902,2257334,11256,1,(1953) (Cuba) (theatrical)
989467,2259173,1695,1,(2001) (UK) (DVD) (restored)
990098,2260022,42524,1,(1945) (USA) (theatrical)
990450,2260277,7550,1,(2009) (Germany) (DVD)
993170,2263785,13214,1,(2009) (Belgium) (all media)
996487,2266779,1347,1,(2013) (Germany) (DVD)
999407,2269390,1710,1,(2012) (Netherlands) (theatrical)
999408,2269390,573,1,(2013) (Netherlands) (DVD)
1004652,2275355,1828,1,(2013) (Netherlands) (theatrical)
1004653,2275355,1571,1,(2012) (United Arab Emirates) (all media) (Middle East)
1004652,2275355,1828,1,(2013) (Netherlands) (theatrical)
1004653,2275355,1571,1,(2012) (United Arab Emirates) (all media) (Middle East)
1004653,2275355,1571,1,(2012) (United Arab Emirates) (all media) (Middle East)
1010502,2281018,5385,1,(1986) (UK) (VHS)
1011082,2281651,868,1,(2003) (USA) (VHS)
1011268,2281850,11930,1,(2007) (Argentina) (theatrical)
2382480,2284733,13642,2,(present) (A First National & Vitaphone Picture)
1021372,2292728,460,1,(2013) (Germany) (DVD) (Blu-ray)
1021373,2292728,461,1,(2013) (Netherlands) (DVD)
1021374,2292728,461,1,(2013) (Netherlands) (DVD) (Blu-ray)
1021346,2292728,451,1,(2013) (UK) (DVD)
1021371,2292728,460,1,(2013) (Germany) (DVD)
1021360,2292728,159,1,(2012) (USA) (theatrical)
1023921,2295082,52,1,(2013) (USA) (DVD) (Blu-ray)
1035579,2307006,3827,1,(2009) (USA) (DVD) (DVD-R)
1038972,2310458,685,1,(1999) (Netherlands) (VHS) (retail)
1040171,2311164,52,1,(2012) (USA) (DVD) (Blu-ray)
1042824,2313992,1828,1,(2013) (Netherlands) (DVD)
1042823,2313992,1828,1,(2013) (Netherlands) (theatrical)
1043393,2314533,1408,1,(2012) (Vietnam) (all media)
2410388,2315708,27600,2,(presents)
2415588,2321666,61167,2,
2416339,2322486,57223,2,
2416654,2322807,210722,2,(uncredited)
1052250,2323264,1716,1,(2012) (France) (theatrical)
1053133,2324224,862,1,(2013) (Hungary) (TV)
1053636,2324802,573,1,(2013) (Netherlands) (DVD)
1053640,2324802,1627,1,(2013) (Germany) (DVD)
1053636,2324802,573,1,(2013) (Netherlands) (DVD)
1055081,2326407,1677,1,(2006) (Netherlands) (DVD)
2421260,2328057,562,2,
2421320,2328105,50162,2,
2426750,2333441,261,2,
1063110,2334970,12643,1,(2009) (Hong Kong) (DVD) (remastered version)
1063612,2335632,531,1,(2012) (USA) (DVD) (Blu-ray)
1063611,2335632,531,1,(2012) (USA) (DVD)
1069423,2341253,52,1,(2012) (USA) (DVD)
2433514,2341253,1709,2,(presents)
1069420,2341253,1709,1,(2012) (USA) (theatrical)
2434879,2342859,92300,2,(in association with)
1071461,2343119,6045,1,(2006) (worldwide) (all media)
1077708,2347914,1627,1,(2012) (Germany) (all media)
1082052,2351090,530,1,(2001) (Netherlands) (DVD)
1082788,2351607,2388,1,(2010) (Japan) (theatrical) (in association with)
1083212,2351864,530,1,(2013) (Netherlands) (DVD) (Blu-ray) (retail)
1083212,2351864,530,1,(2013) (Netherlands) (DVD) (Blu-ray) (retail)
1083212,2351864,530,1,(2013) (Netherlands) (DVD) (Blu-ray) (retail)
1083221,2351864,531,1,(2012) (USA) (DVD)
1083213,2351864,530,1,(2013) (Netherlands) (DVD) (retail)
2443283,2351864,1451,2,(presentation)
1083210,2351864,530,1,(2012) (Netherlands) (DVD) (Blu-ray) (rental)
1083210,2351864,530,1,(2012) (Netherlands) (DVD) (Blu-ray) (rental)
1083208,2351864,579,1,(2012) (UK) (DVD)
2445135,2353842,84650,2,(co-production)
1086472,2354300,1878,1,(2012) (Argentina) (theatrical)
1087670,2355294,312,1,(2013) (USA) (TV)
1088128,2355590,1433,1,(1983) (USA) (TV)
1088966,2356316,15324,1,(2005) (Singapore) (theatrical)
1093030,2359463,452,1,(2013) (USA) (DVD)
1093031,2359463,452,1,(2013) (USA) (DVD) (Blu-ray)
1093678,2359940,521,1,(2012) (Argentina) (DVD) (Warner Home Video Colección Premium)
1096773,2362025,4359,1,(2006) (Canada) (theatrical)
1097222,2362330,530,1,(2012) (Netherlands) (DVD) (Blu-ray)
2455215,2364410,95066,2,
1100389,2364837,452,1,(1997) (USA) (DVD)
1100554,2364960,1451,1,(1954) (USA) (theatrical) (re-release)
2456682,2365986,14495,2,
1102443,2366568,426,1,(2012) (Netherlands) (theatrical)
1102463,2366568,1085,1,(2013) (Japan) (DVD)
1112166,2373865,697,1,(2002) (USA) (DVD)
1114239,2375303,42024,1,(2011) (Austria) (theatrical)
2466433,2376212,67065,2,(as A Tri ptych Media Galafilm/Emotion Pictures Production)
1120130,2379293,2394,1,(2012) (Sweden) (theatrical)
1123112,2381283,27,1,(2011) (UK) (TV)
1123935,2381922,15854,1,(Portugal) (video)
2472563,2382416,16432,2,
1124831,2382585,6476,1,(2003) (Netherlands) (theatrical)
1125896,2383183,8483,1,(2009) (worldwide) (all media)
1125951,2383237,1760,1,(2013) (USA) (all media)
1126707,2383768,1375,1,
2473912,2383781,71243,2,
1126970,2384014,11801,1,(Canada)
2475036,2385023,69508,2,
1130351,2386446,21923,1,(2011) (Italy) (DVD) (Collection: Il piacere del cinema)
1130363,2386453,8850,1,(2005) (Czech Republic) (theatrical)
1131720,2387511,29,1,(2007) (Finland) (DVD) (colorized)
1133122,2388395,576,1,(2013) (USA) (TV) (Internet)
2479385,2389353,846,2,(presents)
1135348,2389848,6,1,
2487261,2397594,159,2,
1149625,2400378,1828,1,(2012) (Netherlands) (theatrical)
1150165,2400852,1717,1,(2013) (USA) (theatrical)
2491814,2402389,1709,2,(present)
1153557,2403238,1713,1,(2012) (Singapore) (theatrical)
1157307,2406097,579,1,(2012) (UK) (DVD)
1157314,2406097,228,1,(2012) (Germany) (DVD)
1157308,2406097,579,1,(2012) (UK) (DVD) (Blu-ray)
1157309,2406097,530,1,(2012) (Netherlands) (DVD)
1157315,2406097,228,1,(2012) (Germany) (DVD) (Blu-ray)
1158902,2407501,774,1,(2009) (Australia) (DVD)
2496777,2407612,16522,2,
1161372,2409384,1705,1,(2002) (USA) (DVD)
1166462,2413074,3139,1,(2001) (USA) (VHS)
2502323,2413266,846,2,
1169299,2415327,521,1,(2008) (Argentina) (DVD)
1174110,2419110,452,1,(2009) (USA) (DVD) (Blu-ray Disc)
1175321,2419694,578,1,(2012) (Germany) (DVD)
1176636,2420597,52,1,(2011) (USA) (DVD)
1182812,2425479,452,1,(2012) (USA) (DVD)
1182812,2425479,452,1,(2012) (USA) (DVD)
1187562,2429012,11402,1,(2001) (Netherlands) (theatrical)
1190270,2431289,52,1,(2012) (USA) (DVD) (Blu-ray)
1191199,2432273,452,1,(2012) (USA) (DVD)
1191218,2432273,461,1,(2012) (Netherlands) (DVD)
1191200,2432273,452,1,(2012) (USA) (DVD) (Blu-ray)
1193492,2434596,7550,1,(2007) (Germany) (DVD)
1200056,2442094,5499,1,(2001) (Hong Kong) (all media)
2530001,2442859,121979,2,
2530585,2443551,2561,2,(as Paramount Productions Inc.)
1205663,2447357,426,1,(2012) (Netherlands) (DVD)
1208502,2450594,10721,1,(2006) (Brazil) (theatrical)
2546940,2460693,1716,2,(co-production)
2548285,2461807,171195,2,
1218477,2461807,1736,1,(2005) (Brazil) (all media)
1221481,2465232,12122,1,(2008) (Switzerland) (theatrical)
1223389,2467167,809,1,(2012) (Canada) (all media)
1224963,2469355,3131,1,(2009) (Netherlands) (DVD)
2563167,2476598,44130,2,(funding)
1241321,2489175,240,1,(2010) (USA) (TV)
1241576,2489445,4242,1,(2009) (Germany) (all media)
1242043,2489870,2561,1,(1992) (USA) (theatrical)
2578071,2492225,231276,2,
1244398,2492766,12208,1,(Korea) (DVD)
2585690,2500846,17928,2,
1254443,2502056,11475,1,(200?) (Sweden) (DVD)
1256585,2504000,12249,1,(2004) (Singapore) (theatrical)
1258198,2505663,2415,1,(2003) (USA) (theatrical) (as A Lions Gate Entertainment Company)
1258399,2505811,4625,1,
2591619,2507464,562,2,(with the participation of)
1263393,2512455,21513,1,(2012) (Hong Kong) (theatrical) (as UA Films)
1265019,2514272,70427,1,(2010) (Iceland) (theatrical)
2599230,2516316,2805,2,
1267863,2517488,1570,1,(2012) (Russia) (theatrical)
1268824,2518791,52,1,(2013) (USA) (DVD)
1269092,2519055,70617,1,(2010) (Moldova) (TV)
1270175,2520664,573,1,(2012) (Netherlands) (DVD) (Blu-ray)
12223,46835,181,1,
57681,219290,386,1,(2004) (USA) (TV)
1358531,278586,72109,2,(as Cosgrove Hall Productions)
80055,317770,19,1,(2005) (USA) (TV)
1373753,336452,44914,2,
1396647,425439,77779,2,
1460931,631909,6198,2,
1536533,890833,401,2,
1536974,891759,83848,2,
1575373,1028842,71049,2,
1608723,1127117,11,2,
281119,1178498,3278,1,(2004) (Denmark) (DVD)
1629294,1195541,87111,2,
1633677,1206701,138,2,
1693069,1368879,75999,2,
341087,1370338,12,1,
368385,1436597,50,1,(2009) (Belgium) (DVD) (season 2)
375801,1452490,49,1,(1994) (USA) (TV)
1773962,1633917,35016,2,
414814,1634882,11814,1,(2008) (Czech Republic) (theatrical)
416297,1636318,1610,1,(2011) (USA) (video) (VOD)
416297,1636318,1610,1,(2011) (USA) (video) (VOD)
419236,1639199,52,1,(2012) (USA) (DVD) (Blu-ray)
419235,1639199,52,1,(2012) (USA) (DVD)
419236,1639199,52,1,(2012) (USA) (DVD) (Blu-ray)
419236,1639199,52,1,(2012) (USA) (DVD) (Blu-ray)
419235,1639199,52,1,(2012) (USA) (DVD)
422254,1642446,1408,1,(2012) (Thailand) (all media)
424563,1645038,483,1,(2007) (worldwide) (all media)
427917,1648701,321,1,
428587,1649458,2,1,(2012) (USA) (all media)
1787444,1649726,475,2,(as Twentieth Century Fox) (presents)
